@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
6.19E1,4.922E-1,?,1.519E3,5.165E-5,3.088E-3,?,1.65E2,?,?,?,-5.455E-1,8.283E-2,-1.919E-1,-9.876E-2,-1.095E-1,-1.338E-1,5.292E-2,-5.677E-3,-4.36E-3,0E0,1.566E-2,9.577E1,5.08E3,1.567E5,5.453E7,?,?,?,?,?,?,?,?,?,?
5.528E1,4.375E-1,7.313E-7,1.471E3,5.522E-5,3.051E-3,?,1.65E2,?,?,?,-5.24E-1,1.902E-1,-1.588E-1,-6.098E-2,-1.344E-1,-1.351E-1,2.146E-1,1.133E-1,-2.893E-2,0E0,1.718E-2,8.85E1,4.96E3,2.31E5,5.88E7,?,?,?,?,?,?,?,?,?,?
6.894E1,5.703E-1,6.515E-7,1.404E3,4.749E-5,3.026E-3,?,1.51E2,?,?,?,-5.451E-1,1.072E-1,-1.012E-1,-3.334E-2,-2.301E-1,-3.908E-2,1.261E-1,-3.098E-2,-2.74E-2,0E0,1.536E-2,9.687E1,5.068E3,1.531E5,5.316E7,?,?,?,?,?,?,?,?,?,?
6.54E1,5.43E-1,7.175E-7,1.333E3,5.111E-5,3.162E-3,?,1.57E2,?,?,?,-5.821E-1,1.921E-1,-2.112E-1,-1.077E-2,-6.507E-2,-1.061E-1,1.323E-1,8.497E-3,4.025E-2,0E0,1.69E-2,9.236E1,4.754E3,1.761E5,5.106E7,?,?,?,?,?,?,?,?,?,?
9.42E1,5.742E-1,3.361E-6,9.365E2,9.517E-5,4.661E-3,?,1.65E2,?,?,?,-4.149E-1,3.721E-1,-9.476E-2,-1.689E-2,-1.806E-1,-1.78E-1,-4.812E-2,-4.008E-2,7.806E-2,0E0,3.37E-2,1.082E2,4.041E3,9.321E4,3.962E7,?,?,?,?,?,?,?,?,?,?
4.569E1,4.336E-1,3.678E-6,1.345E3,7.191E-5,3.442E-3,?,1.23E2,?,?,?,-6.558E-1,1.165E-1,-2.962E-1,-1.644E-1,-1.492E-1,-3.048E-2,9.145E-2,-2.066E-2,-9.135E-2,0E0,1.825E-2,8.628E1,4.754E3,1.751E5,5.174E7,?,?,?,?,?,?,?,?,?,?
7.496E1,5.898E-1,1.282E-6,1.519E3,4.499E-5,2.78E-3,?,1.86E2,?,?,?,-4.51E-1,1.346E-1,-1.467E-1,-4.417E-2,-1.44E-1,-1.621E-1,1.773E-1,2.569E-2,-2.015E-2,0E0,1.58E-2,9.781E1,4.929E3,1.595E5,5.328E7,?,?,?,?,?,?,?,?,?,?
6.999E1,5.469E-1,8.964E-7,1.342E3,5.589E-5,3.344E-3,?,1.46E2,?,?,?,-5.541E-1,1.014E-1,-1.528E-1,1.933E-2,-2.026E-1,-6.511E-2,7.867E-2,-5.544E-2,-2.917E-2,0E0,1.96E-2,9.633E1,4.665E3,1.512E5,4.829E7,?,?,?,?,?,?,?,?,?,?
7.036E1,5.859E-1,8.367E-7,1.299E3,5.069E-5,3.181E-3,?,1.68E2,?,?,?,-5.175E-1,1.234E-1,-1.718E-1,2.334E-2,-1.546E-1,-6.204E-2,5.267E-2,4.152E-2,-6.168E-2,0E0,1.784E-2,9.666E1,4.889E3,1.625E5,5.155E7,?,?,?,?,?,?,?,?,?,?
8.601E1,6.211E-1,7.035E-7,1.362E3,4.594E-5,2.945E-3,?,1.67E2,?,?,?,-4.84E-1,1.269E-1,-1.324E-1,-7.139E-2,-1.365E-1,-4.643E-2,2.145E-1,3.532E-2,-8.149E-2,0E0,1.701E-2,1.053E2,5.08E3,1.288E5,5.431E7,-1.761E3,4.484E0,2.974E-2,8.309E0,-2.028E-1,4.404E-1,2.821E-2,-6.226E-1,-4.13E-3,6.112E0
